transaction_id,quantity,transaction_amount,return_days,customer_frequency,previous_returns,is_fraud
6252,1,98.8022847991458,24.43540483607753,4,3,0
4684,2,19.037489234167428,15.048012207185081,5,0,0
1731,3,37.99554022433861,9.517964724155258,2,3,0
4742,6,116.01735780116282,18.465616359170866,3,3,0
4521,3,35.60128337502518,9.701444748159917,7,1,0
6340,3,38.02907525559491,14.048702711321011,3,1,0
576,3,92.7412695703588,1.9097755511666161,2,2,0
5202,5,126.34411701509237,4.9995211578462175,4,2,0
6363,3,37.15305906195915,14.939751942690426,8,0,0
439,2,38.366102521098576,14.19194117466716,4,1,0
2750,6,49.442920031689866,15.651097140173167,6,3,0
7487,2,120.57853595816319,9.639445334747109,4,3,0
5272,1,34.96484464247805,12.668714388664533,8,3,0
5653,6,19.589143301952237,14.182644052864259,6,2,0
3999,2,18.80810158827582,11.058012691721299,6,2,0
6033,2,57.88016276975367,6.975018590352981,6,2,0
582,4,112.87499165877558,17.779071391920898,8,3,0
9930,4,107.37469315462732,0.44179801950811903,6,4,1
7051,3,66.59357724608009,13.976090270144365,5,1,0
8158,2,79.30156717071982,14.612918919836037,2,2,0
9896,5,43.037686216105314,3.1733442412925235,6,5,1
2249,6,60.639362180906225,17.186338175362348,5,2,0
4640,7,22.418976137193802,27.702030074683396,5,3,0
9485,2,63.69936933332963,5.408511531402081,4,1,0
4947,3,42.73067452024493,18.204797962342518,6,3,0
9920,6,164.09747251529996,5.994838320437319,8,2,1
1963,2,83.10056714156536,9.048987774503699,3,0,0
8243,4,31.758656928561365,8.170088822239034,5,0,0
6590,5,20.025873750292302,11.811313331276928,4,1,0
8847,5,37.25036990709655,12.42590278447445,4,2,0
321,7,19.26226014445791,15.608871454035128,2,2,0
2678,2,83.59432244071752,19.074063266454576,1,2,0
4625,3,12.289838992697987,23.193255544608007,11,0,0
4949,4,34.530073515757245,7.2313717259536325,3,1,0
8328,3,61.26975088837464,11.875974586673383,3,2,0
3337,2,41.59802856258639,20.414568095964817,6,0,0
5589,4,43.895133929892296,8.391968124173438,6,2,0
251,3,47.99117417518324,0.0,4,1,0
3973,4,57.903471841860465,15.611448476519495,3,1,0
6630,7,24.880757722490127,1.9185896344970068,4,1,0
5547,5,84.20010999320459,10.467477725184114,8,0,0
35,2,189.56669605388979,7.343234730857877,2,2,0
8362,3,59.189191018093524,20.01612316027439,7,0,0
1513,3,48.77642197979637,21.742423923141857,5,2,0
9317,1,86.68397800021147,11.275009844544554,3,3,0
39,4,49.86508891910812,4.748105539620844,5,2,0
4819,8,54.978253104711754,10.56403077519424,4,1,0
3465,2,94.11296109533112,7.855450223698271,7,0,0
1760,2,58.423057930676,4.1221438688895695,4,3,0
2304,4,31.03087523320708,21.39288915627359,6,4,0
3723,2,37.85252556618459,3.1175928551234,10,4,0
8284,5,53.08057970021028,8.530259084542944,3,0,0
4993,3,48.226530243825536,14.407129616363063,4,2,0
8127,2,80.59157945525126,0.0,6,3,0
3032,5,91.26249907392783,11.400325826643112,4,2,0
7938,4,78.32518730430756,9.612354703774656,5,1,0
3039,1,33.24529169062964,13.657915759985851,2,2,0
9655,5,22.6864789061154,6.951659762874701,7,5,1
2545,2,45.126583198213,18.11066041824764,3,1,0
2592,3,10.85978924884577,10.22596691186602,4,0,0
1188,1,40.013965875111595,8.39040672166741,4,1,0
7966,4,116.3838190760531,16.018398283421593,8,3,0
6077,3,500.0,7.190473707704022,5,1,0
107,5,78.34593524443348,6.407099770881615,7,0,0
1315,5,39.293790861986245,16.211284834580553,6,2,0
8187,8,84.07580436964139,10.817725822392468,6,1,0
2753,4,21.986267686665535,11.976216979791431,3,2,0
9753,3,71.80294221791605,11.921852116101123,8,3,1
6231,3,125.22095616270111,12.854084939848239,5,0,0
2876,7,52.386404145606505,16.681851634760065,4,1,0
5323,2,18.125128456676613,8.700101693112114,1,3,0
799,4,72.94692921216345,10.70681922923282,2,1,0
3570,1,39.66808091831643,13.383548564536307,4,0,0
2894,2,19.733486350410693,3.2468344404987786,3,0,0
2927,2,127.57414412468015,16.898999558349978,4,1,0
8178,4,116.52818026440134,14.724444053604204,4,3,0
971,3,237.3939173485986,8.312424807517974,2,0,0
6687,5,43.1366783613009,1.30697002742345,3,1,0
8575,4,45.88370772972037,0.0,3,1,0
